"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2024","304.62","299.92","305.74","299.43","3.16M","-0.83%"
"06/25/2024","307.17","307.98","310.00","305.43","4.50M","-0.01%"
"06/24/2024","307.21","305.36","312.37","304.68","4.40M","-0.57%"
"06/21/2024","308.98","307.03","310.35","302.58","8.48M","0.92%"
"06/20/2024","306.16","314.63","317.73","298.00","11.37M","7.29%"
"06/18/2024","285.35","285.31","289.91","284.39","5.31M","-0.06%"
"06/17/2024","285.53","286.23","288.60","283.95","3.56M","-0.41%"
"06/14/2024","286.71","281.41","286.95","280.71","2.97M","1.55%"
"06/13/2024","282.32","287.67","289.55","282.09","3.12M","-1.19%"
"06/12/2024","285.73","291.63","294.15","285.44","3.75M","-2.89%"
"06/11/2024","294.22","290.12","294.31","288.79","2.46M","1.30%"
"06/10/2024","290.43","287.38","290.52","287.00","2.51M","0.70%"
"06/07/2024","288.40","291.44","291.81","288.15","2.63M","-1.14%"
"06/06/2024","291.74","291.20","293.87","290.60","2.36M","0.25%"
"06/05/2024","291.02","288.26","292.31","288.06","3.00M","1.03%"
"06/04/2024","288.06","281.76","288.88","280.34","3.50M","2.24%"
"06/03/2024","281.76","286.35","287.52","280.71","3.60M","-0.19%"
"05/31/2024","282.29","284.80","285.39","278.69","6.88M","-0.88%"
"05/30/2024","284.80","289.97","290.50","284.29","5.01M","-3.05%"
"05/29/2024","293.77","294.15","296.10","291.01","4.48M","-1.33%"
"05/28/2024","297.73","299.37","300.32","295.82","3.53M","-1.08%"
"05/24/2024","300.99","306.89","307.46","300.33","2.05M","-1.61%"
"05/23/2024","305.93","310.14","310.99","304.56","2.53M","-0.38%"
"05/22/2024","307.11","303.96","308.19","303.69","2.43M","1.14%"
"05/21/2024","303.64","306.79","307.15","302.96","1.87M","-0.67%"
"05/20/2024","305.70","303.51","307.07","301.61","2.42M","0.70%"
"05/17/2024","303.59","309.74","310.00","300.01","4.23M","-1.43%"
"05/16/2024","308.00","309.66","310.59","306.75","2.58M","-0.17%"
"05/15/2024","308.52","305.00","308.52","301.44","4.23M","0.51%"
"05/14/2024","306.95","308.90","312.29","306.22","1.81M","-0.15%"
"05/13/2024","307.41","308.15","308.80","306.88","1.70M","0.35%"
"05/10/2024","306.33","308.00","309.26","306.06","1.79M","-0.09%"
"05/09/2024","306.61","307.00","308.20","302.92","3.24M","-1.72%"
"05/08/2024","311.99","310.12","313.40","310.12","2.30M","0.43%"
"05/07/2024","310.66","307.90","312.14","307.60","2.48M","1.50%"
"05/06/2024","306.06","305.17","306.79","303.27","2.36M","0.77%"
"05/03/2024","303.71","302.52","304.96","301.67","2.77M","1.12%"
"05/02/2024","300.34","300.76","303.33","298.27","2.68M","0.56%"
"05/01/2024","298.66","300.13","303.49","298.10","2.62M","-0.75%"
"04/30/2024","300.91","302.00","303.01","299.68","5.22M","-0.74%"
"04/29/2024","303.16","307.06","308.61","302.50","4.72M","-1.57%"
"04/26/2024","308.01","309.41","309.49","307.27","3.37M","-0.32%"
"04/25/2024","309.00","309.19","310.24","305.35","3.64M","-1.45%"
"04/24/2024","313.54","315.84","315.84","310.69","4.13M","-1.04%"
"04/23/2024","316.83","318.48","319.81","316.49","2.00M","-0.19%"
"04/22/2024","317.42","318.54","319.06","315.50","2.43M","0.17%"
"04/19/2024","316.88","317.86","318.55","314.60","3.38M","0.28%"
"04/18/2024","316.00","312.63","317.77","312.01","3.03M","0.46%"
"04/17/2024","314.54","316.87","317.02","312.61","2.76M","0.19%"
"04/16/2024","313.94","315.14","315.64","311.84","2.90M","0.21%"
"04/15/2024","313.27","316.05","321.60","312.18","3.00M","-0.68%"
"04/12/2024","315.40","320.97","322.50","313.19","4.21M","-3.01%"
"04/11/2024","325.19","326.05","327.00","323.26","2.20M","0.24%"
"04/10/2024","324.40","328.35","329.52","323.64","2.16M","-3.00%"
"04/09/2024","334.45","333.65","334.87","329.82","2.42M","0.80%"
"04/08/2024","331.80","334.03","335.00","331.68","2.43M","-0.36%"
"04/05/2024","333.00","331.53","333.82","330.33","3.69M","0.77%"
"04/04/2024","330.47","334.12","337.99","330.17","2.27M","-0.54%"
"04/03/2024","332.28","336.24","337.19","331.89","1.98M","-1.24%"
"04/02/2024","336.46","336.67","338.88","333.00","2.45M","-0.80%"
"04/01/2024","339.17","344.86","345.00","338.07","2.32M","-2.15%"
"03/28/2024","346.61","341.42","346.98","340.84","3.61M","1.66%"
"03/27/2024","340.94","337.88","342.36","337.88","3.30M","1.35%"
"03/26/2024","336.39","335.14","337.84","334.34","3.01M","0.77%"
